"WORK
ORDER";PN;Descrição;SN;Operator;Exchange Order Number;R.S. In;Week0;Month0;Year0;R.S. Out;SegVoo;Week 1;Month1;Year1;STATUS;NEXT STEP;IRW;DEFINITION;RA;PENDING PART;STRATEGIC STOCK THALES;STOCK BER THALES;TAIL;DATE OF REMOVAL;Reason for removal;Work done;QUANTITY BGA SOLDER;Item used on repair;TAT;REASON FOR DELAY;WO FINISHED?(Y/N);RETURN TO AZUL;MONTH;YEAR;MONTH.SEGVOO;YEAR.SEGVOO;DUAL
7004;LV10-080408-102;DSB;CBHB001024;AZUL;;43410;45;11;2018;43728;;38;9;2019;DETECTED BGA SOLDERING PROCESS PROBLEMS. STUDING NEW PROCESS IN ORDER TO OVERCOME THE SOLDERING DEVIATION.;;;BER;0625-19;;;;PR-AZD;43757;BLACK SCREEN ;BER (REPLACED U68 FLASH MEMORY);1;RC28F128J3F-75;318,4895833;PROCESS IFE;Y;43728,48958;9;2019;;YEAR.SEGVOO;NÃO
7005;LV10-080408-102;DSB;CBHB001898;AZUL;;43410;45;11;2018;43647;43647;27;7;2019;SEGVOO003 ISSUED AS 7005/19 REPLACED U68 FLASH MEMORY;;;;;;;;PR-AYR;43757;BLACK SCREEN ;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;238,6666667;INTERNAL PROCESS;Y;43648,66667;7;2019;7;YEAR.SEGVOO;NÃO
7056;LV10-070702-102;DSCD;CBBB000320;AZUL;;43438;49;12;2018;43479;43479;3;1;2019;SEGVOO003 ISSUED AS 7056/19 FUNCTIONAL TEST DONE, OK.;;;;;;;;PR-AXC;43419;LIVETV INOP;POWER SUPPLY REPLACED;0;LV14-070801-101;44,58333333;MATERIAL;Y;43482,58333;1;2019;1;YEAR.SEGVOO;NÃO
7392;LV10-070702-102;DSCD;CBBB000357;AZUL;;43591;19;5;2019;43608;43608;21;5;2019;SEGVOO003 ISSUED AS 7392/19 FUNCTIONAL TEST DONE, OK.;;;;;;;;PR-AYG;43561;LIVE TV IS INOPERATIVE;REPLACED CDP CCA;0;LV20-070802-101;30,58333333;MATERIAL;Y;43621,58333;6;2019;5;YEAR.SEGVOO;NÃO
7446;LV10-070702-102;DSCD;CBBB000363;AZUL;;43598;20;5;2019;43614;43614;22;5;2019;SEGVOO003 ISSUED AS 7446/19 REPLACED THE PARTS DAMAGED, DONE THE FINAL TEST.;;;;;;;;;42558;CAME FROM STOCK (NONE AIRCRAFT INSTALLED);REPLACED CHASSIS;0;LV14-070802-102;23,58333333;OTHER;Y;43621,58333;6;2019;5;YEAR.SEGVOO;NÃO
7463;LV10-080408-102;DSB;CBHB001450;AZUL;;43621;23;6;2019;43649;43649;27;7;2019;SEGVOO003 ISSUED AS 7463/19 REPLACED U68 FLASH MEMORY;;;;;;;;PR-AYN;43577;SEAT INOPERATIVE;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;30,625;MÃO DE OBRA;Y;43651,625;7;2019;7;YEAR.SEGVOO;NÃO
7466;LV10-070702-102;DSCD;CBBB000358;AZUL;;43621;23;6;2019;43640;43640;26;6;2019;SEGVOO003 ISSUED AS 7466/19 FINAL TEST DONE NO FAULTS REPORTED. CLEANED THE CDP CCA CONECTORS AND REPOSITIONED THE CARD. ;;;NFF;;;;;PR-AYX;43558;LIVE TV INOPERATIVE;FINAL TEST DONE NO FAULTS REPORTED. CLEANED THE CDP CCA CONECTORS AND REPOSITIONED THE CARD. ;0;-;22;;Y;43643;6;2019;6;YEAR.SEGVOO;NÃO
7467;LV10-080408-102;DSB;CBHB002338;AZUL;;43621;23;6;2019;43647;43647;27;7;2019;SEGVOO003 ISSUED AS 7467/19 REPLACED U68 FLASH MEMORY;;;;;;;;PR-AXA;43574;SEAT A INOPERATIVE;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;27,66666667;OTHER;Y;43648,66667;7;2019;7;YEAR.SEGVOO;NÃO
7468;LV10-080408-102;DSB;CBHB000623;AZUL;;43621;23;6;2019;43649;43649;27;7;2019;SEGVOO003 ISSUED AS 7468/19 REPLACED  U68 AND U42 FLASH MEMORIES;;;;;;;;PR-AZG;43586;SEAT A INOPERATIVE;REPLACED  U68 AND U42 FLASH MEMORIES;2;RC28F128J3F-75;30,625;MÃO DE OBRA;Y;43651,625;7;2019;7;YEAR.SEGVOO;NÃO
7469;LV10-080408-102;DSB;CBHB002549;AZUL;;43621;23;6;2019;43650;43650;27;7;2019;SEGVOO003 ISSUED AS 7469/19 REPLACED U42 FLASH MEMORY;;;;;;;;PR-AXG;43585;SEAT B BLACK SCREEN;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;42;MÃO DE OBRA;Y;43663;7;2019;7;YEAR.SEGVOO;NÃO
